text,label
"I swear, wristwatch dey work fine, no wahala at all since I don start to use am. no regret at all.",positive
"As I dey talk, Money waste be dis, jacket come crack before I even open the box well well. I don report to Jumia already.",negative
"No be lie, Packaging good, sunglasses come as described, I go still buy from dis seller again. na correct product be dis.",positive
"Omo, I don try dis shoe tire, e no last, e begin spoil like say na cheap material. e pain me well well.",negative
"Chai, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast.",positive
"Omo, Fit dey okay, size correct for dis shoe, but material fit better small, na still usable sha. I fit still consider am next time.",neutral
"No be lie, Chai dis belt na correct investment, I dey enjoy am tire. make una try am.",positive
"As I dey talk, Fan or school bag strong small, noise dey small but e still manage for the price. e dey manage like that.",neutral
"As I dey talk, Best purchase I don make dis year na dis wall clock, e dey save my time every day. I go still buy again.",positive
"Honestly, I love how dem wrap the toaster, extra plastic everywhere, e no fit spoil for road. I don recommend am to my people.",positive
"Chai, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. e worth the money.",positive
"Money waste be dis, jacket come crack before I even open the box well well.",negative
"Believe me, slippers dey work fine, no wahala at all since I don start to use am. make una try am.",positive
"Na wa o, Original belt be dis o, no be fake, quality strong pass wetin I expect. I go still buy again.",positive
"Believe me, Laptop bag or keyboard dey okay, zip small tight but e go loosen with time I believe. e dey manage like that.",neutral
"Honestly, Seller no send full printer wey I order, one piece dey missing inside the package. make una no waste your money.",negative
"God when catch person, My people dem love the iron well well, e dey work exactly as dem promise. na correct product be dis.",positive
"To God who made me, I love how dem wrap the hair dryer, extra plastic everywhere, e no fit spoil for road. no regret at all.",positive
"To God who made me, I don order dis school bag tire tire, no be wetin dem show for site, quality no good at all.",negative
"Honestly, belt dey work fine, no wahala at all since I don start to use am. make una try am.",positive
"See ehn, Best purchase I don make dis year na dis blender, e dey save my time every day. I dey happy well well.",positive
"To God who made me, Two weeks now, my money don go, dis fan never show, na so dem dey scam people.",negative
"Honestly, Dress or toaster fine sha, but the size chart dem post no correct at all, e small pass small. nothing to hail, nothing to condemn.",neutral
"I swear, Seller no send full bag wey I order, one piece dey missing inside the package. no be small disappointment.",negative
"To God who made me, I don try dis toaster tire, e no last, e begin spoil like say na cheap material. na scam be dis one.",negative
"I swear, I don tell my whole family make dem use Jumia because of how dis flash drive order turn out. I dey happy well well.",positive
"See ehn, Umbrella or school bag dey work but the handle dey shake small, e still dey manage. e go still do for the price.",neutral
"Small small, Sound or function dey there for dis torch light, nothing extraordinary, e go do for person wey no too particular.",neutral
"To God who made me, Wig cap or baby clothes tear the first day I use am, quality poor, e no worth the price at all. make una no waste your money.",negative
"To God who made me, Wig cap or flash drive tear the first day I use am, quality poor, e no worth the price at all. no be small disappointment.",negative
"To God who made me, Fan or toaster strong small, noise dey small but e still manage for the price. e go still do for the price.",neutral
"Chai, I get value for my money, dis wallet still fresh after months of daily use. no regret at all.",positive
"Na wa o, This iron no be my size or wetin I order, dem send wrong one, wahala to return am too much. make una no waste your money.",negative
"Na wa o, I love how dem wrap the baby clothes, extra plastic everywhere, e no fit spoil for road.",positive
"Omo, E no bad but the color no match wetin dem show for picture for dis dress, small disappointment. nothing to hail, nothing to condemn.",neutral
"Believe me, rice cooker dey do half work, e dey slow pass normal, I no too satisfied but no too vex sha. e go still do for the price.",neutral
"To God who made me, Best purchase I don make dis year na dis electric kettle, e dey save my time every day. I go still buy again.",positive
"No be lie, My people dem love the baby clothes well well, e dey work exactly as dem promise. e worth the money.",positive
"I swear, Delivery man carry my toy pass one week, wahala full ground, I no gree order again. make una no waste your money.",negative
"No be lie, Two weeks now, my money don go, dis slippers never show, na so dem dey scam people.",negative
"Werey no dey do person, My people dem love the trouser well well, e dey work exactly as dem promise. e worth the money.",positive
"Honestly, Dis jacket sweet me well well, e reach as e dey for picture, delivery sef no waste time. I dey happy well well.",positive
"As I dey talk, earpiece strong die, price sef affordable well well, no complain at all. I don recommend am to my people.",positive
"Werey no dey do person, This wristwatch no be my size or wetin I order, dem send wrong one, wahala to return am too much.",negative
"Believe me, Laptop bag or face cap dey okay, zip small tight but e go loosen with time I believe. nothing to hail, nothing to condemn.",neutral
"Packaging good, kettle come as described, I go still buy from dis seller again.",positive
"To God who made me, Customer service sharp reply me when I complain about my slippers, dem replace am sharp sharp. no regret at all.",positive
"Small small, Laptop bag or extension box dey okay, zip small tight but e go loosen with time I believe. e dey manage like that.",neutral
"Believe me, Table cloth or rice cooker okay for the price, finishing fit better but e dey serve purpose. e dey manage like that.",neutral
"Guy, I get value for my money, dis printer still fresh after months of daily use. e worth the money.",positive
"Guy, I love how dem wrap the perfume, extra plastic everywhere, e no fit spoil for road. e worth the money.",positive
"Guy, Dis fan sweet me well well, e reach as e dey for picture, delivery sef no waste time.",positive
"Werey no dey do person, This iron cause wahala for me, I no know if na fake or wetin, no buy am o. I no go order again.",negative
"See ehn, Best purchase I don make dis year na dis necklace, e dey save my time every day. make una try am.",positive
"See ehn, Dem send expired bag to me, I no even fit use am, na waste of money be dis. make una no waste your money.",negative
"Guy, Fan or jacket strong small, noise dey small but e still manage for the price. nothing to hail, nothing to condemn.",neutral
"Guy, Na my third time to buy sandals from Jumia, dem never disappoint me, packaging tight well. I don recommend am to my people.",positive
"My people dem love the jacket well well, e dey work exactly as dem promise. no regret at all.",positive
"God when catch person, Dem package the phone case anyhow, e crack, spoilage spread inside the whole carton. I no go order again.",negative
"God when catch person, I don try dis office chair tire, e no last, e begin spoil like say na cheap material. make una no waste your money.",negative
"Chai, bag dey work fine, no wahala at all since I don start to use am. I don recommend am to my people.",positive
"Guy, Seller ignore my message tire about dis umbrella, when e finally reach na wrong color entirely. I no go order again.",negative
"Small small, Dis keyboard no work reach half wetin dem talk, na scam be dis one o. na scam be dis one.",negative
"See ehn, Delivery man carry my charger pass one week, wahala full ground, I no gree order again. I no go order again.",negative
"Werey no dey do person, Chai dis toaster na correct investment, I dey enjoy am tire.",positive
"As I dey talk, Original slippers be dis o, no be fake, quality strong pass wetin I expect.",positive
"Chai, Dis wristwatch sweet me well well, e reach as e dey for picture, delivery sef no waste time. make una try am.",positive
"Believe me, Customer service sharp reply me when I complain about my fan, dem replace am sharp sharp. e worth the money.",positive
"God when catch person, Seller no send full mouse wey I order, one piece dey missing inside the package. e pain me well well.",negative
"Na wa o, I love how dem wrap the generator, extra plastic everywhere, e no fit spoil for road. na correct product be dis.",positive
"Na wa o, Na my third time to buy table cloth from Jumia, dem never disappoint me, packaging tight well. I go still buy again.",positive
"As I dey talk, Speaker or hair dryer loud small, quality no strong reach wetin I hear for advert but e dey manage.",neutral
"No be lie, Product fine but sneakers box small small damage reach house, no be too serious sha. e dey manage like that.",neutral
"Believe me, I don order dis television tire tire, no be wetin dem show for site, quality no good at all. no be small disappointment.",negative
"I swear, The extension box just dey normal, no wowing, no bad, I fit still buy am again if discount dey.",neutral
"No be lie, I get value for my money, dis rice cooker still fresh after months of daily use. I go still buy again.",positive
"God when catch person, The speaker just dey normal, no wowing, no bad, I fit still buy am again if discount dey.",neutral
"Believe me, I don tell my whole family make dem use Jumia because of how dis watch order turn out. make una try am.",positive
"Believe me, Money waste be dis, iron come crack before I even open the box well well. e pain me well well.",negative
"Believe me, Dem send expired office chair to me, I no even fit use am, na waste of money be dis. e pain me well well.",negative
"Chai, I get value for my money, dis phone case still fresh after months of daily use.",positive
"See ehn, I get value for my money, dis sunglasses still fresh after months of daily use. no regret at all.",positive
"Small small, I don order dis router tire tire, no be wetin dem show for site, quality no good at all. na scam be dis one.",negative
"Werey no dey do person, sneakers dey work fine, no wahala at all since I don start to use am. I don recommend am to my people.",positive
"Small small, Dis wallet no work reach half wetin dem talk, na scam be dis one o. I no go order again.",negative
"Honestly, Two weeks now, my money don go, dis wall clock never show, na so dem dey scam people.",negative
"Believe me, Dis power bank sweet me well well, e reach as e dey for picture, delivery sef no waste time. no regret at all.",positive
"Guy, Chai dis baby clothes na correct investment, I dey enjoy am tire. e worth the money.",positive
"Werey no dey do person, I don tell my whole family make dem use Jumia because of how dis electric kettle order turn out.",positive
"Small small, Dis curtain no work reach half wetin dem talk, na scam be dis one o. make una no waste your money.",negative
"Chai, Na my third time to buy power bank from Jumia, dem never disappoint me, packaging tight well.",positive
"Small small, Customer service sharp reply me when I complain about my rice cooker, dem replace am sharp sharp. I go still buy again.",positive
"Honestly, My people dem love the perfume well well, e dey work exactly as dem promise. I go still buy again.",positive
"God when catch person, This washing machine no be my size or wetin I order, dem send wrong one, wahala to return am too much. e pain me well well.",negative
"See ehn, Best purchase I don make dis year na dis gown, e dey save my time every day.",positive
"See ehn, I love how dem wrap the wig, extra plastic everywhere, e no fit spoil for road. I don recommend am to my people.",positive
"Chai, Wig cap or speaker tear the first day I use am, quality poor, e no worth the price at all.",negative
"See ehn, Dis ring no work reach half wetin dem talk, na scam be dis one o. na scam be dis one.",negative
"God when catch person, I love how dem wrap the generator, extra plastic everywhere, e no fit spoil for road. no regret at all.",positive
"I get value for my money, dis vacuum cleaner still fresh after months of daily use.",positive
"As I dey talk, Fit dey okay, size correct for dis toy, but material fit better small, na still usable sha. nothing to hail, nothing to condemn.",neutral
"Item different from picture completely for dis flash drive, dem dupe me, I go dispute dis order. na scam be dis one.",negative
"Small small, Best purchase I don make dis year na dis trouser, e dey save my time every day. na correct product be dis.",positive
"Omo, Umbrella or bag dey work but the handle dey shake small, e still dey manage. e dey manage like that.",neutral
"Believe me, Dress or sandals fine sha, but the size chart dem post no correct at all, e small pass small. nothing to hail, nothing to condemn.",neutral
"Omo, Fit dey okay, size correct for dis rice cooker, but material fit better small, na still usable sha. e go still do for the price.",neutral
"See ehn, I don tell my whole family make dem use Jumia because of how dis umbrella order turn out. na correct product be dis.",positive
"God when catch person, Dress or jacket fine sha, but the size chart dem post no correct at all, e small pass small.",neutral
"Honestly, Two weeks now, my money don go, dis airpod never show, na so dem dey scam people. I don report to Jumia already.",negative
"Guy, I don order dis jacket tire tire, no be wetin dem show for site, quality no good at all. no be small disappointment.",negative
"See ehn, toaster dey work fine, no wahala at all since I don start to use am. I dey happy well well.",positive
"Omo, I love how dem wrap the sunglasses, extra plastic everywhere, e no fit spoil for road. I go still buy again.",positive
"Honestly, I don tell my whole family make dem use Jumia because of how dis wallet order turn out. I dey happy well well.",positive
"To God who made me, Dem send expired office chair to me, I no even fit use am, na waste of money be dis. no be small disappointment.",negative
"Guy, Dis airpod sweet me well well, e reach as e dey for picture, delivery sef no waste time. e worth the money.",positive
"As I dey talk, Dis school bag no work reach half wetin dem talk, na scam be dis one o.",negative
"Na wa o, Original wig be dis o, no be fake, quality strong pass wetin I expect. make una try am.",positive
"Honestly, Speaker or electric kettle loud small, quality no strong reach wetin I hear for advert but e dey manage. I fit still consider am next time.",neutral
"No be lie, Everything come complete, instructions dey inside, my toy setup no stress me at all. I go still buy again.",positive
"Honestly, I don tell my whole family make dem use Jumia because of how dis charger order turn out.",positive
"No be lie, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. make una try am.",positive
"God when catch person, Best purchase I don make dis year na dis power bank, e dey save my time every day. no regret at all.",positive
"Na wa o, Dis umbrella no work reach half wetin dem talk, na scam be dis one o. na scam be dis one.",negative
"As I dey talk, Dis generator sweet me well well, e reach as e dey for picture, delivery sef no waste time. e worth the money.",positive
"Omo, Sound or function dey there for dis printer, nothing extraordinary, e go do for person wey no too particular.",neutral
"Werey no dey do person, Dem send expired fan to me, I no even fit use am, na waste of money be dis. na scam be dis one.",negative
"See ehn, Seller dey blackmail person, my jacket no reach up till two weeks, I don report am. e pain me well well.",negative
"Na wa o, My people dem love the flash drive well well, e dey work exactly as dem promise.",positive
"Omo, Delivery man carry my generator pass one week, wahala full ground, I no gree order again.",negative
"Omo, Original jacket be dis o, no be fake, quality strong pass wetin I expect.",positive
"To God who made me, Speaker or trouser loud small, quality no strong reach wetin I hear for advert but e dey manage. I fit still consider am next time.",neutral
"Believe me, speaker strong die, price sef affordable well well, no complain at all. make una try am.",positive
"Guy, Packaging good, television come as described, I go still buy from dis seller again. na correct product be dis.",positive
"Two weeks now, my money don go, dis airpod never show, na so dem dey scam people. no be small disappointment.",negative
"Small small, Dis flash drive no work reach half wetin dem talk, na scam be dis one o. make una no waste your money.",negative
"Omo, This iron cause wahala for me, I no know if na fake or wetin, no buy am o. make una no waste your money.",negative
"Na wa o, Table cloth or perfume okay for the price, finishing fit better but e dey serve purpose. nothing to hail, nothing to condemn.",neutral
"Honestly, Item different from picture completely for dis face cap, dem dupe me, I go dispute dis order. I no go order again.",negative
"As I dey talk, Everything come complete, instructions dey inside, my torch light setup no stress me at all. no regret at all.",positive
"No be lie, This trouser cause wahala for me, I no know if na fake or wetin, no buy am o. make una no waste your money.",negative
"See ehn, Money waste be dis, vacuum cleaner come crack before I even open the box well well. I no go order again.",negative
"As I dey talk, Umbrella or microwave dey work but the handle dey shake small, e still dey manage.",neutral
"God when catch person, Dem package the printer anyhow, e crack, spoilage spread inside the whole carton.",negative
"I swear, Dress or gown fine sha, but the size chart dem post no correct at all, e small pass small. e go still do for the price.",neutral
"As I dey talk, I don tell my whole family make dem use Jumia because of how dis umbrella order turn out. make una try am.",positive
"I swear, I don tell my whole family make dem use Jumia because of how dis gas cooker order turn out. no regret at all.",positive
"Believe me, Wig cap or vacuum cleaner tear the first day I use am, quality poor, e no worth the price at all.",negative
"Small small, Dress or sunglasses fine sha, but the size chart dem post no correct at all, e small pass small. nothing to hail, nothing to condemn.",neutral
"Guy, I get value for my money, dis power bank still fresh after months of daily use. I go still buy again.",positive
"See ehn, Fan or generator strong small, noise dey small but e still manage for the price. nothing to hail, nothing to condemn.",neutral
"Delivery man carry my airpod pass one week, wahala full ground, I no gree order again. na scam be dis one.",negative
"Believe me, Customer service sharp reply me when I complain about my keyboard, dem replace am sharp sharp. no regret at all.",positive
"See ehn, Packaging good, juicer come as described, I go still buy from dis seller again. make una try am.",positive
"See ehn, Dis perfume no work reach half wetin dem talk, na scam be dis one o. e pain me well well.",negative
"No be lie, Dis power bank no work reach half wetin dem talk, na scam be dis one o. na scam be dis one.",negative
"To God who made me, Product fine but television box small small damage reach house, no be too serious sha.",neutral
"I swear, Everything come complete, instructions dey inside, my airpod setup no stress me at all. e worth the money.",positive
"Seller no send full wallet wey I order, one piece dey missing inside the package. no be small disappointment.",negative
"I don try dis school bag tire, e no last, e begin spoil like say na cheap material.",negative
"Guy, I don order dis extension box tire tire, no be wetin dem show for site, quality no good at all.",negative
"To God who made me, Product fine but phone case box small small damage reach house, no be too serious sha. e go still do for the price.",neutral
"To God who made me, Everything come complete, instructions dey inside, my electric kettle setup no stress me at all. na correct product be dis.",positive
"No be lie, I love how dem wrap the cream, extra plastic everywhere, e no fit spoil for road. I dey happy well well.",positive
"Dis sunglasses sweet me well well, e reach as e dey for picture, delivery sef no waste time.",positive
"To God who made me, Best purchase I don make dis year na dis sunglasses, e dey save my time every day. na correct product be dis.",positive
"Small small, Laptop bag or table cloth dey okay, zip small tight but e go loosen with time I believe. nothing to hail, nothing to condemn.",neutral
"See ehn, I don tell my whole family make dem use Jumia because of how dis trouser order turn out. I dey happy well well.",positive
"Chai, Money waste be dis, gas cooker come crack before I even open the box well well. no be small disappointment.",negative
"No be lie, Customer service sharp reply me when I complain about my gas cooker, dem replace am sharp sharp. no regret at all.",positive
"Werey no dey do person, I don try dis charger tire, e no last, e begin spoil like say na cheap material.",negative
"Honestly, Two weeks now, my money don go, dis umbrella never show, na so dem dey scam people.",negative
"Honestly, Delivery man carry my microwave pass one week, wahala full ground, I no gree order again.",negative
"Honestly, Best purchase I don make dis year na dis office chair, e dey save my time every day. make una try am.",positive
"See ehn, Item different from picture completely for dis kettle, dem dupe me, I go dispute dis order. I no go order again.",negative
"Omo, Customer service sharp reply me when I complain about my jacket, dem replace am sharp sharp. e worth the money.",positive
"Guy, Packaging good, shoe come as described, I go still buy from dis seller again. I dey happy well well.",positive
"Guy, Sound or function dey there for dis wristwatch, nothing extraordinary, e go do for person wey no too particular. nothing to hail, nothing to condemn.",neutral
"Honestly, Delivery man carry my juicer pass one week, wahala full ground, I no gree order again.",negative
"Honestly, Seller no send full washing machine wey I order, one piece dey missing inside the package. no be small disappointment.",negative
"As I dey talk, Dem send expired perfume to me, I no even fit use am, na waste of money be dis. make una no waste your money.",negative
"Delivery come quick pass wetin dem promise, na so I like am o, seller too fast.",positive
"Omo, Laptop bag or table cloth dey okay, zip small tight but e go loosen with time I believe. e go still do for the price.",neutral
"Na wa o, Best purchase I don make dis year na dis microwave, e dey save my time every day.",positive
"Chai, Seller no send full cream wey I order, one piece dey missing inside the package. na scam be dis one.",negative
"No be lie, Packaging good, shoe come as described, I go still buy from dis seller again.",positive
"See ehn, Chai dis vacuum cleaner na correct investment, I dey enjoy am tire.",positive
"Omo, I don order dis television tire tire, no be wetin dem show for site, quality no good at all.",negative
"Werey no dey do person, Delivery man carry my sandals pass one week, wahala full ground, I no gree order again. na scam be dis one.",negative
"Honestly, Dem send expired iron to me, I no even fit use am, na waste of money be dis. I don report to Jumia already.",negative
"No be lie, Sound or function dey there for dis wig, nothing extraordinary, e go do for person wey no too particular. e go still do for the price.",neutral
"Believe me, Customer service sharp reply me when I complain about my torch light, dem replace am sharp sharp. no regret at all.",positive
"Believe me, Money waste be dis, rice cooker come crack before I even open the box well well. I don report to Jumia already.",negative
"Guy, I love how dem wrap the jacket, extra plastic everywhere, e no fit spoil for road. na correct product be dis.",positive
"I swear, I don tell my whole family make dem use Jumia because of how dis wristwatch order turn out. make una try am.",positive
"Small small, Dem package the blender anyhow, e crack, spoilage spread inside the whole carton. na scam be dis one.",negative
"Small small, Best purchase I don make dis year na dis baby clothes, e dey save my time every day. no regret at all.",positive
"Believe me, The charger just dey normal, no wowing, no bad, I fit still buy am again if discount dey.",neutral
"Chai, Best purchase I don make dis year na dis microwave, e dey save my time every day. I go still buy again.",positive
"Honestly, Delivery man carry my wig pass one week, wahala full ground, I no gree order again. no be small disappointment.",negative
"I swear, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast.",positive
"Honestly, Fan or school bag strong small, noise dey small but e still manage for the price. nothing to hail, nothing to condemn.",neutral
"I swear, Everything come complete, instructions dey inside, my washing machine setup no stress me at all. no regret at all.",positive
"Guy, Dress or microwave fine sha, but the size chart dem post no correct at all, e small pass small.",neutral
"Believe me, Everything come complete, instructions dey inside, my table cloth setup no stress me at all. no regret at all.",positive
"As I dey talk, Fan or slippers strong small, noise dey small but e still manage for the price.",neutral
"As I dey talk, Everything come complete, instructions dey inside, my keyboard setup no stress me at all. na correct product be dis.",positive
"Honestly, I don order dis gown tire tire, no be wetin dem show for site, quality no good at all. na scam be dis one.",negative
"No be lie, Na my third time to buy earpiece from Jumia, dem never disappoint me, packaging tight well. I dey happy well well.",positive
"No be lie, I love how dem wrap the table cloth, extra plastic everywhere, e no fit spoil for road. I go still buy again.",positive
"Werey no dey do person, Packaging good, curtain come as described, I go still buy from dis seller again. I don recommend am to my people.",positive
"I swear, Everything come complete, instructions dey inside, my shoe setup no stress me at all.",positive
"No be lie, Dis printer no work reach half wetin dem talk, na scam be dis one o. no be small disappointment.",negative
"I swear, electric kettle dey do half work, e dey slow pass normal, I no too satisfied but no too vex sha. e dey manage like that.",neutral
"Chai, I don tell my whole family make dem use Jumia because of how dis gown order turn out. I don recommend am to my people.",positive
"Na wa o, Two weeks now, my money don go, dis extension box never show, na so dem dey scam people. I no go order again.",negative
"God when catch person, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. no regret at all.",positive
"Na wa o, Dem package the charger anyhow, e crack, spoilage spread inside the whole carton. no be small disappointment.",negative
"No be lie, This hair dryer cause wahala for me, I no know if na fake or wetin, no buy am o.",negative
"Werey no dey do person, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. I go still buy again.",positive
"Believe me, Best purchase I don make dis year na dis power bank, e dey save my time every day. I don recommend am to my people.",positive
"Believe me, Dis umbrella no work reach half wetin dem talk, na scam be dis one o. I don report to Jumia already.",negative
"As I dey talk, toy dey work fine, no wahala at all since I don start to use am. e worth the money.",positive
"Believe me, Best purchase I don make dis year na dis toaster, e dey save my time every day. no regret at all.",positive
"No be lie, I don tell my whole family make dem use Jumia because of how dis speaker order turn out. na correct product be dis.",positive
"See ehn, The curtain just dey normal, no wowing, no bad, I fit still buy am again if discount dey. nothing to hail, nothing to condemn.",neutral
"See ehn, Packaging good, torch light come as described, I go still buy from dis seller again. I don recommend am to my people.",positive
"Na wa o, This electric kettle no be my size or wetin I order, dem send wrong one, wahala to return am too much. no be small disappointment.",negative
"Honestly, flash drive strong die, price sef affordable well well, no complain at all.",positive
"I don try dis curtain tire, e no last, e begin spoil like say na cheap material. e pain me well well.",negative
"See ehn, I love how dem wrap the washing machine, extra plastic everywhere, e no fit spoil for road. na correct product be dis.",positive
"Everything come complete, instructions dey inside, my generator setup no stress me at all. I dey happy well well.",positive
"Small small, Chai dis microwave na correct investment, I dey enjoy am tire. no regret at all.",positive
"Chai, Delivery man carry my trouser pass one week, wahala full ground, I no gree order again. na scam be dis one.",negative
"Honestly, rice cooker strong die, price sef affordable well well, no complain at all. make una try am.",positive
"See ehn, Laptop bag or washing machine dey okay, zip small tight but e go loosen with time I believe.",neutral
"Na wa o, Delivery come quick pass wetin dem promise, na so I like am o, seller too fast. I don recommend am to my people.",positive
"Best purchase I don make dis year na dis gown, e dey save my time every day. na correct product be dis.",positive
"I swear, Two weeks now, my money don go, dis torch light never show, na so dem dey scam people. na scam be dis one.",negative
"Na wa o, Everything come complete, instructions dey inside, my blender setup no stress me at all. I don recommend am to my people.",positive
"To God who made me, I don tell my whole family make dem use Jumia because of how dis shoe order turn out. I don recommend am to my people.",positive
"God when catch person, E dey okay o, no be bad market but dis dress no be wetin I expect too, average product. e go still do for the price.",neutral
"Omo, Two weeks now, my money don go, dis baby clothes never show, na so dem dey scam people. I don report to Jumia already.",negative
"Chai, I love how dem wrap the earpiece, extra plastic everywhere, e no fit spoil for road. e worth the money.",positive
"God when catch person, Seller ignore my message tire about dis torch light, when e finally reach na wrong color entirely. make una no waste your money.",negative
"As I dey talk, Seller ignore my message tire about dis belt, when e finally reach na wrong color entirely. I don report to Jumia already.",negative
"Honestly, The belt just dey normal, no wowing, no bad, I fit still buy am again if discount dey. I fit still consider am next time.",neutral
"Dis rice cooker no work reach half wetin dem talk, na scam be dis one o. I no go order again.",negative
"Believe me, Na my third time to buy electric kettle from Jumia, dem never disappoint me, packaging tight well. I don recommend am to my people.",positive
"Two weeks now, my money don go, dis router never show, na so dem dey scam people.",negative
"God when catch person, Seller ignore my message tire about dis wig, when e finally reach na wrong color entirely. make una no waste your money.",negative
